,股票名稱,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1101,台泥,18.0,21.8,24.2,31.1,57.8,60.7,39.8,36.4,49.45,39.75,46.95,49.8,45.4,38.3,38.9,47.3,46.6,47.55,
1102,亞泥,19.2,27.3,22.8,33.0,58.9,61.3,39.0,36.1,48.3,40.1,40.3,44.5,39.85,31.15,32.0,45.75,49.0,49.9,58.7
1103,嘉泥,22.9,23.7,15.9,23.0,35.0,33.55,20.5,18.9,20.3,15.7,16.5,17.1,14.75,9.78,13.55,15.65,22.85,22.7,54.3
1104,環泥,15.2,16.5,13.2,15.0,20.8,30.0,18.75,22.2,20.45,16.4,35.2,32.0,32.95,26.15,27.25,23.35,20.2,24.45,28.15
1108,幸福,9.2,13.65,9.8,10.7,17.85,14.8,9.98,9.35,9.2,6.79,8.5,11.05,11.8,10.45,10.45,8.82,8.81,13.3,29.8
1109,信大,11.4,13.25,11.15,13.8,14.4,16.1,11.55,11.2,11.8,11.55,12.2,16.6,14.7,11.5,13.7,16.95,21.2,21.6,20.15
1110,東泥,9.2,13.15,9.35,13.3,15.45,19.5,13.4,13.9,14.8,14.7,17.8,17.8,18.0,16.55,17.2,17.5,17.85,18.4,31.5
1201,味全,15.6,18.3,13.0,23.9,30.5,24.5,48.85,44.0,40.9,38.6,60.1,52.5,26.8,23.2,21.55,25.5,36.45,25.35,23.6
1203,味王,12.35,18.5,13.2,16.65,33.7,30.1,27.95,29.4,27.35,23.9,26.5,26.3,24.8,23.4,26.0,28.3,27.9,38.6,25.5
1210,大成,12.55,11.2,12.05,21.25,52.9,49.5,39.75,37.15,39.6,32.95,28.4,37.3,28.4,31.25,36.4,42.15,45.8,52.5,39.95
1213,大飲,15.0,16.0,12.2,18.6,19.65,14.5,10.8,37.95,34.75,28.8,25.5,26.3,23.0,21.55,18.2,16.2,11.55,11.9,62.9
1215,卜蜂,8.1,9.2,7.35,9.63,20.5,21.65,19.2,22.0,21.3,17.2,16.5,29.6,29.6,49.8,78.8,71.0,74.9,76.0,10.25
1216,統一,15.7,22.2,16.8,33.7,53.4,49.9,40.4,43.9,49.3,55.0,68.3,58.6,60.0,67.4,67.2,83.8,83.8,75.8,86.8
1217,愛之味,12.45,11.1,9.36,9.46,21.3,15.8,15.1,15.45,15.1,11.6,11.15,10.4,9.45,8.97,8.79,8.5,7.61,10.35,76.9
1218,泰山,7.0,12.2,8.8,8.34,14.15,13.8,14.35,20.5,23.5,18.4,16.45,15.2,13.65,18.0,24.7,22.2,23.55,28.45,14.6
1219,福壽,6.75,9.65,6.8,10.0,16.7,21.5,13.65,15.5,18.2,17.25,18.8,18.15,16.45,16.5,19.0,19.15,18.8,25.5,34.55
1220,台榮,6.2,8.6,6.5,9.54,16.2,13.65,9.4,16.0,16.45,11.95,11.25,11.25,11.15,12.45,11.6,13.0,11.5,13.15,30.45
