股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance
1101,台泥,20051219,22.6,22.6,21.55,0.0487238979118329,0,4.872389791183298,20051219,22.6,0.3141592920353981,-0.077433628318584,21.8,8.34,20.13,0.0743,0.5799,0.3783,0.571,77.65,72.1,5.550000000000011,89.11,83.56,5.549999999999997,2.249,3.884,14.029,22.653,10.353,9.201,3.8840000000000003,1.4200000000000002,9.338,34.411,0.0,0.0353982300884956,83.57,72.88,200922.1,0.108,0.021,0.4722,0.5596,0.5181,0.6387,21.65,0.043879907621247244,21.21,0.06553512494106556
1227,佳格,20050214,12.8,12.8,12.5,0.024,0,2.4000000000000057,20050214,12.8,0.0546874999999999,-0.140625,12.6,7.97,19.13,0.1078,0.7669,0.4744,0.6805,90.78,78.99,11.790000000000006,71.71,62.52,9.18999999999999,2.356,4.234,6.571,14.598,29.158,8.018,4.234000000000001,2.072,2.178,3.798,0.0,0.015625000000000083,87.42,76.07,12048.05,0.025,0.016,0.2345,0.2744,0.2701,0.5325,12.35,0.03643724696356284,11.9575,0.07045787162868503
1233,天仁,20050225,23.4,23.4,22.0,0.0636363636363635,0,6.363636363636357,20050225,23.4,0.1175213675213675,-0.0598290598290597,22.5,7.0,14.55,0.0808,0.5379,0.2872,0.3644,60.9,48.97,11.93,71.59,64.85,6.740000000000009,5.338,4.271,2.625,8.17,29.793,7.834,4.268,7.132,0.798,-14.171000000000001,0.0,0.0384615384615384,88.0,79.87,2342.55,0.052,0.035,0.5713,0.3527,0.29,0.5459,22.26,0.0512129380053907,21.94,0.06654512306289868
1301,台塑,20050301,59.3,59.3,57.1,0.0385288966725043,0,3.8528896672504303,20050301,59.3,0.0337268128161888,-0.1736930860033726,58.5,9.13,18.75,0.1071,0.6158,0.7614,0.8678,68.81,54.18,14.630000000000003,85.89,79.61,6.280000000000001,3.217,1.064,8.127,9.224,28.844,5.714,1.0620000000000003,4.723,-4.72,-8.867,0.0,0.0134907251264755,85.54,72.97,675471.45,0.26,0.038,1.0947,0.9805,1.7757,1.9316,57.14,0.037801890094504666,56.16,0.055911680911680924
1314,中石化,20050307,9.0,9.0,8.61,0.0452961672473868,0,4.529616724738683,20050307,9.0,0.1666666666666666,-0.1666666666666666,8.9,22.72,37.56,0.1369,1.6163,1.0916,1.2372,89.87,80.62,9.25,85.66,75.51,10.149999999999991,10.728,15.199,31.355,62.102,25.642,18.28,15.197000000000001,0.4320000000000004,14.74,77.919,0.0,0.011111111111111072,83.01,66.43,374494.55,0.206,0.082,0.1842,0.5715,0.4972,0.5239,8.604,0.04602510460251056,7.6985,0.16905890757939857
1326,台化,20050301,66.0,66.0,61.7,0.0696920583468395,0,6.96920583468395,20050301,66.0,0.0212121212121212,-0.2507575757575757,62.5,11.23,25.51,0.1712,0.4627,0.8572,0.8681,85.81,76.93,8.879999999999995,74.5,61.39,13.11,8.091,5.938,5.497,12.782,47.032,10.589,5.937,8.675999999999998,4.7749999999999995,-17.444,0.0,0.05303030303030303,90.09,82.47,665143.55,0.268,0.158,2.2791,1.6389,1.1906,1.5326,61.56,0.0721247563352826,59.69,0.10571284972357183
1435,中福,20051117,15.4,15.4,14.95,0.0301003344481606,0,3.010033444816061,20051117,15.4,0.1136363636363635,-0.275974025974026,15.3,20.02,90.56,0.4367,-0.302,-0.3349,0.3492,80.51,76.69,3.8200000000000074,93.11,91.75,1.3599999999999994,3.566,5.23,49.694,187.923,171.557,8.571,5.225999999999999,5.4479999999999995,-24.865,195.74,0.0,0.0064935064935064705,85.69,69.79,11509.55,0.53,-0.068,0.1356,0.2671,1.7233,3.0952,14.94,0.03078982597054892,14.68,0.0490463215258856
1471,首利,20050610,32.9,32.9,30.15,0.0912106135986733,0,9.12106135986733,20050610,32.9,0.4240121580547114,-0.182370820668693,32.0,57.21,58.75,0.1561,0.5289,0.6784,0.3978,93.07,93.89,-0.8200000000000074,83.74,71.43,12.309999999999988,13.546,75.924,61.775,62.529,34.595,80.0,75.862,-3.3150000000000013,74.97200000000001,79.509,0.0,0.02735562310030391,68.73,48.08,123499.05,3.383,0.837,1.7847,4.4176,3.7645,2.9853,29.6,0.11148648648648639,24.1775,0.36076931030917175
1475,業旺,20051011,31.7,31.7,31.7,0.0,0,0.0,20051011,31.7,0.0,-0.2649842271293375,31.2,22.32,37.96,0.0112,0.3184,-0.2048,0.2938,81.72,77.67,4.049999999999997,93.01,86.44,6.570000000000007,7.25,26.154,40.917,44.625,20.614,25.296,25.986,12.853,13.012,66.58500000000001,0.0,0.015772870662460567,89.93,77.81,208.8,14.085,0.851,1.0591,1.2329,2.5082,2.8002,29.83,0.06268856855514586,28.86,0.0984060984060984
1503,士電,20050610,27.1,27.1,26.15,0.0363288718929255,0,3.632887189292554,20050610,27.1,0.1808118081180811,-0.1697416974169742,26.2,13.11,23.67,0.1103,0.4909,0.3937,0.5857,86.92,80.71,6.210000000000008,57.85,44.92,12.93,8.66,10.771,12.637,24.174,31.51,14.848,10.71,4.85,13.117,18.625,0.0,0.03321033210332111,72.32,66.12,139394.75,0.366,0.22,0.9903,1.1992,0.8401,1.143,25.03,0.08270075908909309,23.2825,0.16396435090733394
