,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility,entrancePrice-PrevYearHighest
1201,味全,20091112,47.55,,,0.027339642481598408,-0.36908517350157727,430064.0,7.345000000000001,3.1049999999999995,4.240000000000001,42.55,36.12,37.92,47.48,0.472,7.54,50.78,0.2172,1.0416,0.6801,0.8716,79.6,69.43,67.6,68.44,-1.439,2.637,9.016,46.462,87.356,-0.8400000000000034,10.169999999999987,3.571,2.636,30.5,-3.077,4.4,40.17400000000001,-25.557000000000002,33.882999999999996,-0.07900000000000007,3.219999999999999,-0.21000000000000796,13.639999999999997,-0.28000000000000114,0.5590163934426229
1218,泰山,20091112,14.35,,,0.0,-0.25435540069686413,229890.0,-6.125,-3.34,-2.785,44.4,37.88,38.41,52.48,0.522,15.48,42.29,0.2918,1.0764,1.0024,0.7549,81.26,78.61,73.8,62.38,-0.454,16.365,3.686,35.194,101.629,11.419999999999995,2.6500000000000057,17.3,16.365000000000002,14.15,-6.757,20.366999999999997,-4.102999999999994,-24.029,99.354,-0.018000000000000016,6.179999999999993,5.710000000000001,23.22,-0.7399999999999949,0.014134275618374508
1227,佳格,20091112,38.25,,,0.9398692810457517,-0.024836601307189617,47632.0,14.68,12.315,2.365,37.29,34.8,31.01,36.46,0.361,14.19,41.56,0.2016,0.322,0.4273,0.6043,72.5,77.41,89.74,88.04,-1.396,12.05,17.551,13.81,45.426,1.6999999999999886,-4.909999999999997,12.985,12.049999999999999,37.0,-10.645,10.615,-0.45699999999999896,23.343999999999998,-22.774,-0.15400000000000003,0.45999999999999375,2.1300000000000097,5.130000000000003,9.019999999999996,0.033783783783783786
1309,台達化,20091117,14.6,,,0.03424657534246575,-0.21232876712328766,208632.0,34.835,29.635,5.199999999999999,26.59,31.45,36.5,45.96,0.458,12.99,72.46,0.2795,0.2914,0.5688,0.7666,72.9,67.45,86.48,85.49,3.288,6.062,25.76,44.268,115.721,0.9900000000000091,5.450000000000003,6.297,6.061999999999999,14.5,7.709999999999999,6.702,22.396,7.399000000000001,118.97,-0.019999999999999962,8.740000000000009,2.8799999999999955,-9.319999999999997,-14.330000000000002,0.006896551724137907
1312,國喬,20091112,16.95,,,0.13864306784660776,-0.22123893805309736,725886.0,37.964999999999996,-0.8899999999999997,38.855,35.63,33.18,35.74,51.23,0.509,16.17,75.84,0.4101,-0.3213,0.32,0.8992,39.08,46.73,79.74,82.15,-2.5,12.078,26.31,36.408,221.128,-2.410000000000011,-7.649999999999999,13.013,12.078,15.85,2.1630000000000003,9.09,-86.81099999999999,25.006999999999998,239.154,-0.007000000000000006,-3.260000000000005,-1.9199999999999875,5.080000000000002,-8.93,0.06940063091482648
1319,東陽,20091112,54.5,,,0.12844036697247707,-0.17889908256880735,131624.0,22.950000000000003,-5.9799999999999995,28.930000000000003,44.05,44.5,45.65,52.26,0.519,16.67,94.78,0.4855,1.6227,0.9284,0.8816,82.76,76.89,81.51,81.37,0.429,4.534,43.164,43.38,289.967,0.14000000000000057,5.8700000000000045,5.469,4.534000000000001,42.0,-11.407,-11.232,-121.41300000000001,51.571,293.751,0.08200000000000002,5.469999999999999,0.8200000000000074,-0.9200000000000017,-7.609999999999999,0.2976190476190476
1325,恆大,20091112,29.9,,,0.03846153846153853,-0.3394648829431438,16869.0,23.7,-14.925,38.625,21.32,28.0,36.7,45.81,0.453,-0.82,66.13,0.4959,0.249,-0.0282,0.2864,29.02,39.77,47.95,45.84,-5.566,1.487,-10.681,43.37,192.976,2.1099999999999994,-10.750000000000004,2.422,1.487,16.9,-5.56,9.373000000000001,-25.014000000000003,-62.602999999999994,170.796,0.09300000000000003,1.8500000000000014,0.8300000000000054,-12.950000000000003,-27.42,0.7692307692307693
1455,集盛,20091112,13.3,,,0.3383458646616541,-0.16917293233082706,161801.0,20.37,-3.3000000000000007,23.67,49.11,46.87,44.61,44.27,0.44,23.14,110.63,0.3562,0.9923,0.6976,0.8116,56.05,62.6,83.69,84.53,-5.304,13.603,33.899,148.79,167.133,-0.8400000000000034,-6.550000000000004,14.538,13.603,11.6,-11.751000000000001,-7.267000000000001,159.339,-32.47,167.251,0.02400000000000002,-2.3299999999999983,-1.039999999999992,0.8200000000000003,-3.8100000000000023,0.14655172413793113
1514,亞力,20091221,14.75,,,0.07796610169491527,-0.2983050847457627,42684.0,-14.375,4.105,-18.48,74.92,61.07,53.56,39.44,0.391,36.12,104.72,0.294,0.9896,0.8399,0.7434,31.47,49.68,82.05,84.46,-6.044,38.738,105.742,109.653,120.116,-2.4099999999999966,-18.21,40.096,38.738,14.6,-5.162999999999999,16.631999999999998,125.265,111.878,116.288,-0.008000000000000007,-8.579999999999998,-2.75,32.36,27.92,0.010273972602739751
1565,精華,20091112,185.0,,,0.5,-0.021621621621621623,40712.0,19.34,15.605,3.7349999999999994,28.64,31.57,30.31,31.11,0.309,13.82,46.46,0.1111,-0.3406,0.4494,0.5394,69.18,75.08,87.68,87.11,-5.562,3.65,19.504,33.655,18.02,0.5700000000000074,-5.8999999999999915,4.585,3.65,175.5,-11.906,-8.716,59.293000000000006,12.515,-1.0,-0.015000000000000013,-3.0799999999999983,-0.04999999999999716,-6.18,-9.420000000000002,0.05413105413105413
