,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue
1215_20160614,20160614.0,32.15,0.5489891135303265,0.0,,9.33,14.965,-5.635,28.92,27.35,26.0,24.6,0.246,13.03,35.67,0.1761,0.5396,0.4024,0.6802,41.68,61.38,85.65,87.1,-1.098,6.013,28.498,35.968,54.804,-1.4499999999999886,-19.700000000000003,12.5,5.975,29.6,-1.5950000000000002,-11.194,16.150000000000002,23.914,54.580000000000005,-0.012,-4.449999999999989,-0.730000000000004
1305_20160830,20160830.0,19.65,0.4274809160305345,-0.0636132315521628,,5.64,-4.975,10.614999999999998,29.92,26.31,25.87,33.47,0.334,26.85,39.93,0.2017,-1.0648,0.4294,0.9231,81.84,80.82,90.37,83.95,5.42,25.722,33.149,33.946,58.509,6.420000000000002,1.0200000000000102,27.126,24.806,17.25,-2.3680000000000003,23.601000000000003,25.278,34.126,40.724,-0.0339999999999999,4.150000000000006,3.719999999999999
1525_20160614,20160614.0,130.5,0.210727969348659,-0.1455938697318007,,1.485,-3.145,4.63,38.46,58.76,60.85,53.5,0.528,6.99,46.72,0.2824,1.3665,1.5382,1.5311,31.37,48.04,55.12,60.18,-1.812,-1.181,27.817,54.584,53.641,-5.060000000000002,-16.669999999999998,5.306,-1.2190000000000003,96.5,-2.824,-17.472,44.190000000000005,18.893,38.955,0.141,-7.090000000000003,-2.780000000000001
1568_20160818,20160818.0,35.0,0.1828571428571428,-0.1171428571428571,,5.68,10.655,-4.975000000000001,53.3,49.2,46.67,45.94,0.452,37.97,65.07,0.3434,1.2864,0.9755,0.7144,89.67,82.12,82.01,72.74,22.208,41.647,49.577,35.234,112.575,9.27000000000001,7.549999999999997,42.916,40.19,23.2,13.355999999999998,49.254,-15.893999999999998,60.121,126.473,0.165,9.97,5.349999999999994
2377_20160614,20160614.0,54.7,0.6617915904936015,0.0,,20.905,19.76,1.1450000000000031,28.21,39.29,41.3,39.29,0.391,9.26,41.72,0.2863,0.0401,0.6183,0.7392,75.52,64.4,81.78,75.54,3.837,4.082,23.392,15.581,102.876,6.239999999999995,11.11999999999999,10.569,4.0440000000000005,52.0,3.605,1.817,-53.987,33.336,125.46,0.0489999999999999,4.079999999999998,2.0600000000000023
2383_20160803,20160803.0,79.5,0.440251572327044,0.0,,9.01,4.41,4.6,36.89,30.94,28.74,37.83,0.377,13.9,23.14,0.1158,0.6138,0.3712,1.1036,71.03,58.2,85.08,83.64,10.112,2.891,28.448,25.814,21.139,1.4399999999999975,12.829999999999998,5.906,0.9449999999999994,77.4,10.592,-7.162000000000001,28.199,27.136,-80.41300000000001,0.018,6.659999999999997,1.1099999999999994
2428_20160902,20160902.0,60.7,0.1894563426688632,-0.028006589785832,,1.3449999999999998,8.265,-6.920000000000001,34.13,26.68,26.5,30.18,0.298,13.6,20.36,0.1574,-0.5983,0.1764,0.6813,74.57,82.89,87.09,82.54,2.251,16.981,20.009,2.543,42.332,4.549999999999997,-8.320000000000007,16.085,15.933000000000002,56.0,0.7429999999999999,18.179,-31.131,30.742,37.178,0.0449999999999999,-1.509999999999991,2.280000000000001
2489_20160706,20160706.0,23.2,0.0991379310344827,-0.0905172413793102,,45.155,53.900000000000006,-8.745000000000005,27.08,20.69,18.22,23.09,0.229,14.38,35.46,0.1708,0.0537,0.1592,0.4755,87.48,78.39,77.0,69.65,14.056,14.749,20.43,38.071,54.188,7.349999999999994,9.090000000000003,14.5,13.38,23.1,12.568,18.949,23.76,6.831999999999999,64.805,0.015,19.130000000000003,7.550000000000004
2492_20160614,20160614.0,30.25,0.3619834710743803,-0.0479338842975206,,18.525,13.935,4.59,42.95,55.89,58.62,52.15,0.518,9.53,59.48,0.3945,0.546,1.125,1.4808,30.17,40.2,78.24,75.78,-1.236,5.827,9.464,53.016,95.486,2.4599999999999937,-10.03,12.313,5.788,21.3,2.3630000000000004,-3.379,17.053999999999995,-30.083,89.345,0.153,-0.8800000000000097,1.1700000000000017
3005_20160817,20160817.0,27.1,0.8062730627306273,-0.0129151291512915,,0.9799999999999998,7.875,-6.8950000000000005,35.81,27.56,24.29,27.66,0.277,20.45,33.78,0.1474,-0.1255,0.3235,0.8119,84.83,79.92,91.15,88.38,9.199,18.804,20.194,29.503,36.764,2.7700000000000102,4.909999999999997,20.679,17.366,26.25,10.59,16.157999999999998,28.222,9.009,-10.68,-0.0579999999999999,-0.019999999999996,0.7800000000000011
3023_20160614,20160614.0,75.0,0.0786666666666667,-0.1279999999999999,,9.21,8.52,0.6900000000000013,24.66,34.04,29.97,34.11,0.342,7.45,25.01,0.1703,0.8149,0.3773,0.9001,64.63,58.44,76.29,74.53,2.009,-7.287,15.552,19.222,41.78,1.7600000000000051,6.189999999999998,-0.8,-7.325,67.5,3.428,-29.766,0.7360000000000007,12.777,3.9840000000000018,0.089,5.290000000000006,2.3400000000000034
