股票編號,股票名稱,觀察日期,觀察價格,觀察期間最高價,觀察期間最低價,觀察期間高低差除以最低,觀察期間高低價時間差(天),高低差除以高低價時間差,進場日期,進場價格,120天最高價,120天最低價,prevYearHighest,EntranceBias60,EntranceBias250,EntranceAlpha250,EntranceBeta21,EntranceBeta65,EntranceBeta250,EntranceDayKValue,EntranceDayDValue,EntranceDayKValue-EntranceDayDValue,EntranceWeekKValue,EntranceWeekDValue,EntranceWeekKValue-EntranceWeekDValue,EntranceWeekRoiCompare,EntranceMonthRoiCompare,EntranceQuoterRoiCompare,EntranceHalfYearRoiCompare,EntranceYearRoiCompare,entrance_stock_rate_of_return_month,entrance_stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,(Entrance-Observe)/Observe,(Entrance-PrevYearHighest)/PrevYearHighest,monthKValue,monthDValue,prevDayVolumn,Diff,MacdDiff,WeekMaStd,MonthMaStd,SeasonMaStd,HalfYearMaStd,WeekMa,WeekMaDistance,MonthMa,MonthMaDistance,MonthYoyRevenue
1218,泰山,20170705,18.75,18.75,17.65,0.0623229461756374,0,6.232294617563748,20170705,18.75,0.3173333333333333,-0.1173333333333332,18.0,17.93,21.06,0.0855,0.4881,0.8147,0.8077,73.83,60.68,13.149999999999999,79.49,67.52,11.969999999999999,9.982,8.379,19.17,11.739,18.685,10.119,7.138,9.777999999999999,-6.082000000000001,6.792000000000001,0.0,0.04,67.72,57.87,60523.55,0.36,0.055,0.7467,0.4723,1.1359,0.8508,17.28,0.08506944444444438,16.865,0.11176993774088359,-4.93
1229,聯華,20170321,24.4,24.4,24.1,0.0124481327800828,0,1.2448132780082868,20170321,24.4,0.2131147540983607,-0.0204918032786885,22.85,4.3,15.86,0.089,0.5476,0.3665,0.3937,76.01,74.73,1.2800000000000011,74.7,72.9,1.7999999999999972,-1.716,0.636,0.212,7.249,18.066,2.772,0.6359999999999997,-3.785,0.435,-1.835,0.0,0.06352459016393432,82.79,79.87,38920.55,0.129,0.036,0.2293,0.375,0.7783,1.0364,24.22,0.007431874483897594,23.6525,0.031603424585138935,-12.365
1463,強盛,20170111,23.0,23.0,21.3,0.0798122065727699,0,7.981220657276991,20170111,23.0,0.3304347826086957,-0.1065217391304347,22.5,10.0,21.56,0.0857,0.7822,0.8329,0.8121,47.65,51.74,-4.090000000000003,73.4,70.91,2.490000000000009,-1.563,7.805,17.629,16.756,19.827,7.305,7.805,-6.0249999999999995,-1.5779999999999994,8.96,0.0,0.021739130434782608,77.4,77.36,53387.4,0.36,0.015,0.1378,0.5179,1.2522,1.1866,21.4,0.074766355140187,20.8,0.10576923076923073,-0.47499999999999987
1512,瑞利,20170313,8.48,8.48,8.0,0.06,0,6.000000000000005,20170313,8.48,0.7924528301886791,-0.2806603773584906,7.38,33.0,58.04,0.1594,-2.9754,-0.9283,0.7476,84.77,76.01,8.759999999999991,83.98,77.93,6.049999999999997,17.926,32.236,61.24,46.822,26.24,32.103,32.237,4.810999999999998,25.631999999999998,60.889,0.0,0.12971698113207553,75.15,61.61,30235.15,0.465,0.162,0.3885,0.7883,0.8447,0.9026,7.86,0.07888040712468194,6.7985,0.24733397072883734,-29.225
1513,中興電,20170918,23.85,23.85,22.5,0.06,0,6.000000000000006,20170918,23.85,0.0146750524109013,-0.1823899371069182,23.65,18.75,27.21,0.137,1.1668,-0.0244,0.2065,78.19,64.04,14.149999999999991,81.99,72.61,9.379999999999995,17.597,16.028,24.534,10.058,23.075,19.033,15.768,16.614,12.306999999999999,-0.24200000000000088,0.0,0.008385744234800957,78.29,70.54,71730.15,0.431,0.238,1.3482,0.9366,0.6292,0.8686,21.57,0.1057023643949931,20.665,0.15412533268812012,-2.4549999999999983
1582,信錦,20170918,73.5,73.5,71.0,0.0352112676056338,0,3.5211267605633805,20170918,73.5,0.0,-0.1755102040816326,72.2,6.55,20.01,0.1177,0.0656,0.1785,0.3891,82.06,85.26,-3.200000000000003,86.25,83.31,2.9399999999999977,1.145,1.07,5.289,12.542,26.092,4.076,0.8109999999999995,-0.7170000000000001,-4.779999999999999,-7.807,0.0,0.017687074829931933,83.45,83.43,61020.4,1.045,0.101,0.2683,0.9688,2.0559,1.9566,71.0,0.035211267605633804,69.65,0.05527638190954765,-3.66
1709,和益,20170407,21.0,21.0,20.55,0.021897810218978,0,2.1897810218978067,20170407,21.0,0.0,-0.1428571428571428,18.15,14.99,26.0,0.0936,0.2939,0.2482,0.4226,93.17,87.88,5.290000000000006,88.88,82.31,6.569999999999993,2.844,10.407,17.662,17.55,21.373,11.796,10.407,-6.413,9.289,15.761000000000001,0.0,0.1357142857142858,85.21,76.34,34734.1,0.465,0.149,0.5006,0.927,1.0168,0.9697,20.47,0.02589154860771867,19.09,0.1000523834468308,-10.645
1904,正隆,20170105,14.7,14.7,14.05,0.0462633451957294,0,4.626334519572944,20170105,14.7,0.2040816326530612,-0.0544217687074829,13.7,22.57,30.89,0.1109,1.0911,0.5866,0.3426,86.28,75.1,11.180000000000007,89.5,81.69,7.810000000000002,11.713,19.836,26.347,26.333,21.971,21.992,19.836000000000002,7.635999999999999,15.153999999999998,30.875,0.0,0.06802721088435375,86.47,74.98,39222.3,0.324,0.13,0.6568,0.5692,0.5995,0.5317,13.44,0.09374999999999999,12.6375,0.1632047477744807,-3.645
2303,聯電,20170901,16.5,16.5,15.15,0.089108910891089,0,8.910891089108908,20170901,16.5,0.0181818181818182,-0.1666666666666666,16.1,15.85,34.13,0.1142,0.8418,0.2022,0.5174,79.24,79.95,-0.710000000000008,76.11,72.14,3.969999999999999,6.964,16.073,29.096,24.616,26.917,17.582,15.293000000000001,3.1710000000000003,20.584,27.225,0.0,0.024242424242424156,79.87,68.45,1117746.8,0.301,0.114,0.455,0.5444,0.9116,1.1159,15.15,0.08910891089108908,14.4275,0.14364928088719459,-0.41000000000000014
2314,台揚,20170224,30.15,30.15,27.45,0.0983606557377048,0,9.836065573770489,20170224,30.15,0.3134328358208956,-0.1077943615257048,29.0,9.98,21.3,0.0284,-0.8018,0.3191,1.1956,63.88,59.98,3.9000000000000057,51.36,46.08,5.280000000000001,9.853,11.492,2.56,-3.826,8.413,14.694,11.492,7.183999999999999,14.803,-16.498,0.0,0.03814262023217242,82.37,77.08,124760.15,0.633,0.319,0.8328,1.0513,0.9249,4.7833,27.27,0.10561056105610557,25.8125,0.1680387409200968,-22.064999999999998
2323,中環,20170912,4.89,4.89,4.55,0.0747252747252747,0,7.47252747252747,20170912,4.89,0.1329243353783231,-0.1738241308793455,4.66,16.93,21.45,0.0399,-0.3687,0.4528,0.7927,77.28,72.8,4.480000000000004,64.12,50.15,13.970000000000006,12.389,21.613,12.772,6.63,3.137,24.332,21.247,10.043999999999999,26.104,10.751999999999999,0.0,0.04703476482617578,60.04,52.58,73103.05,0.169,0.085,0.2462,0.1946,0.1459,0.1567,4.322,0.13142063859324377,4.0755,0.19985277880014718,-21.125
2338,光罩,20170223,12.2,12.2,11.95,0.0209205020920502,0,2.0920502092050213,20170223,12.2,0.5409836065573772,-0.0204918032786885,10.3,32.97,39.9,0.0906,-1.6063,-0.2221,0.4112,94.19,91.2,2.989999999999995,88.84,83.57,5.27000000000001,19.232,27.573,41.482,38.847,12.038,31.236,27.572,15.390999999999998,26.126,59.822,0.0,0.15573770491803268,64.8,47.38,29388.1,0.67,0.228,0.8165,1.0283,0.9214,0.7961,11.57,0.05445116681071729,10.0525,0.21362845063417052,-5.1049999999999995
2349,錸德,20170223,6.63,6.63,6.26,0.0591054313099041,0,5.910543130990417,20170223,6.63,0.0,-0.253393665158371,6.6,15.53,29.15,0.1567,-1.7267,0.5524,1.0711,46.08,43.31,2.769999999999996,67.65,58.74,8.910000000000004,2.98,16.721,9.917,10.725,35.596,20.385,16.721,4.2059999999999995,18.163,-14.285000000000002,0.0,0.004524886877828092,76.26,70.55,129266.0,0.614,0.007,0.0826,0.3559,0.4453,0.7068,6.166,0.07525137852740829,5.9585,0.11269614835948645,-21.7
2352,佳世達,20170109,16.1,16.1,15.8,0.0189873417721519,0,1.8987341772151944,20170109,16.1,0.6055900621118012,-0.0279503105590062,15.9,8.32,34.54,0.1243,1.2331,1.296,1.0162,80.01,72.58,7.430000000000007,83.88,82.69,1.1899999999999977,4.023,4.142,19.325,33.825,44.571,3.607,4.142,4.601999999999999,-2.965,30.198000000000004,0.0,0.01242236024844727,88.88,81.45,133636.4,0.154,0.04,0.16,0.2938,0.8992,1.3009,15.63,0.030070377479206694,15.2575,0.0552187448795675,-3.02
2371,大同,20170110,10.65,10.65,9.68,0.100206611570248,0,10.0206611570248,20170110,10.65,0.9389671361502344,-0.0910798122065728,9.89,17.19,68.3,0.2325,1.1466,1.2607,0.962,94.57,87.3,7.269999999999996,87.73,83.29,4.439999999999998,9.994,16.345,44.786,98.996,83.647,15.887,16.345,10.419,12.741999999999999,113.768,0.0,0.07136150234741782,89.65,76.68,144685.3,0.185,0.056,0.4067,0.3537,0.6231,1.6785,9.84,0.08231707317073175,9.475,0.12401055408970985,-10.795
2413,環科,20170907,20.3,20.3,18.35,0.106267029972752,0,10.6267029972752,20170907,20.3,0.1822660098522167,-0.1625615763546798,17.0,44.21,58.13,0.1234,2.0791,1.011,0.9479,87.75,87.46,0.29000000000000625,79.32,65.31,14.009999999999991,17.52,50.386,43.347,52.45,39.782,50.0,49.8,9.11,45.563,62.098,0.0,0.16256157635467983,70.27,56.74,35627.55,1.515,0.386,1.1586,1.9494,1.9564,1.6418,18.21,0.11477210323997802,15.5125,0.30862207896857385,-6.154999999999999
2415,錩新,20170104,26.2,26.2,24.9,0.0522088353413654,0,5.220883534136549,20170104,26.2,0.5362595419847329,-0.049618320610687,26.05,8.66,53.79,0.2865,-0.185,1.5391,1.1262,63.08,53.18,9.899999999999999,64.27,64.3,-0.030000000000001137,4.268,7.059,16.599,82.096,105.259,8.12,7.058999999999999,3.186,3.611,70.683,0.0,0.005725190839694603,86.88,81.22,51815.35,0.229,0.078,0.5297,0.695,1.3987,3.3253,24.32,0.07730263157894733,23.8675,0.09772703467057713,-0.8599999999999999
2426,鼎元,20171124,17.85,17.85,17.0,0.05,0,5.000000000000009,20171124,17.85,0.0140056022408963,-0.1988795518207283,17.5,22.51,32.15,0.1472,3.5783,1.3736,0.8207,73.38,63.59,9.789999999999992,73.25,69.38,3.8700000000000045,14.617,23.973,31.44,11.705,42.688,25.0,23.971,12.237000000000002,27.154,-10.467999999999998,0.0,0.01960784313725498,58.67,53.59,161613.45,0.522,0.193,0.9261,0.8476,0.8297,0.8762,15.82,0.12831858407079652,14.755,0.20975940359200274,-17.9
2449,京元電子,20170627,32.4,32.4,31.9,0.0156739811912225,0,1.5673981191222572,20170627,32.4,0.0447530864197531,-0.1311728395061728,32.3,11.07,15.01,-0.0134,1.2618,0.8787,0.8607,89.91,82.22,7.689999999999998,89.5,81.65,7.849999999999994,0.89,4.709,10.841,11.569,-3.384,8.769,3.9880000000000004,-2.896,-2.008,23.443,0.0,0.003086419753086464,67.18,51.98,304030.65,0.564,0.13,0.1985,0.9505,1.4613,1.4987,31.89,0.0159924741298212,30.495,0.06246925725528767,-3.395
2455,全新,20170213,59.5,59.5,55.4,0.0740072202166065,0,7.400722021660652,20170213,59.5,0.2420168067226891,-0.1176470588235294,58.8,20.9,7.07,-0.0372,-0.2533,0.317,0.6776,85.95,79.02,6.930000000000007,82.2,75.26,6.939999999999998,10.163,15.075,25.239,11.063,-22.811,18.609,15.074000000000002,5.2940000000000005,12.738,37.581,0.0,0.01176470588235299,60.53,47.44,94401.1,1.734,0.661,1.3266,3.0241,3.4634,3.9091,55.7,0.06822262118491916,50.9875,0.16695268448149062,-39.95
2478,大毅,20170206,25.3,25.3,24.85,0.0181086519114687,0,1.8108651911468785,20170206,25.3,0.0869565217391304,-0.1976284584980237,20.35,27.12,29.09,0.1351,2.1537,0.9342,0.5395,80.65,84.08,-3.4299999999999926,80.4,73.59,6.810000000000002,-7.52,28.257,27.265,-5.035,1.034,30.026,28.257,-27.133,27.978,-8.909,0.0,0.19565217391304343,79.68,72.68,27529.1,1.751,0.666,0.7959,2.578,1.8354,1.9544,25.36,-0.002365930599369035,21.095,0.1993363356245557,-0.12
2481,強茂,20170815,21.0,21.0,19.4,0.0824742268041237,0,8.24742268041238,20170815,21.0,0.9500000000000002,-0.0761904761904762,20.8,17.88,31.1,0.0762,1.3929,0.7827,0.9106,57.99,55.1,2.8900000000000006,77.61,66.76,10.849999999999994,9.038,22.583,27.472,24.227,20.625,21.312,21.262,7.158,26.270999999999997,28.343,0.0,0.00952380952380949,89.12,80.86,82726.05,0.662,0.057,0.6844,0.7476,0.6696,0.8284,19.69,0.06653123412899942,19.105,0.09918869405914679,-8.795
2535,達欣工,20170324,21.0,21.0,20.45,0.0268948655256724,0,2.689486552567241,20170324,21.0,0.0047619047619048,-0.1928571428571429,20.95,6.2,19.31,0.1069,-0.3102,-0.0917,0.3088,75.47,67.41,8.060000000000002,61.29,47.11,14.18,3.275,5.359,-2.157,15.27,19.814,6.923,5.359,2.335,9.994,12.043,0.0,0.002380952380952415,83.5,80.69,42482.8,0.186,0.07,0.2891,0.4539,0.3619,0.9622,20.52,0.0233918128654971,19.885,0.05607241639426695,-9.72
2605,新興,20170224,27.2,27.2,25.7,0.0583657587548638,0,5.836575875486381,20170224,27.2,0.0,-0.2757352941176471,26.6,26.85,37.71,0.1297,1.3902,0.547,0.485,90.15,87.84,2.3100000000000023,84.13,74.83,9.299999999999997,8.04,22.75,25.749,41.079,19.492,25.952,22.75,-0.7480000000000011,17.159,58.772000000000006,0.0,0.022058823529411686,61.71,43.71,93643.2,1.216,0.338,0.5817,1.9275,1.7761,1.9492,25.51,0.06624852998823981,22.7175,0.19731484538351482,-32.58
2612,中航,20170222,36.45,36.45,33.8,0.0784023668639055,0,7.840236686390551,20170222,36.45,0.0,-0.2702331961591221,36.2,20.54,27.96,0.1324,0.6718,0.2248,0.7038,79.11,78.36,0.75,65.16,51.7,13.459999999999994,10.198,18.475,-1.915,27.197,16.792,23.268,18.474,1.7940000000000005,11.169,42.166,0.0,0.006858710562414266,63.77,53.05,74558.8,1.419,0.476,0.8046,2.2484,2.4113,3.6273,33.29,0.09492340042054682,30.025,0.2139883430474606,-7.744999999999999
2723,美食-KY,20170627,372.5,372.5,355.0,0.0492957746478873,0,4.929577464788732,20170627,372.5,0.1516778523489932,-0.1543624161073825,360.5,15.85,24.5,0.0686,1.6634,1.0523,0.8718,80.23,67.7,12.530000000000001,84.4,81.05,3.3500000000000085,7.437,7.187,21.989,33.684,11.283,11.246,6.465000000000001,6.615,2.1610000000000005,51.074999999999996,0.0,0.032214765100671144,70.59,56.38,74455.45,5.098,0.973,10.8922,9.4198,23.1055,29.9216,347.9,0.07070997413049734,339.675,0.09663649076322953,-2.5749999999999997
2820,華票,20170425,14.4,14.4,14.15,0.0176678445229682,0,1.76678445229682,20170425,14.4,0.1041666666666666,-0.0173611111111111,13.05,4.73,13.67,0.0852,0.372,0.1829,0.1342,75.92,57.03,18.89,84.75,85.8,-1.0499999999999972,4.133,3.845,5.338,8.975,10.395,3.226,3.8449999999999998,4.699,4.322,7.492999999999999,0.0,0.09374999999999997,95.83,92.95,36136.0,0.05,0.028,0.253,0.172,0.2903,0.5083,14.05,0.024911032028469723,13.92,0.03448275862068969,-27.54
2887,台新金,20170717,14.35,14.35,14.2,0.0105633802816901,0,1.056338028169017,20170717,14.35,0.0069686411149825,-0.1045296167247386,14.3,7.26,17.51,0.0536,0.5642,0.7062,0.716,87.11,81.76,5.349999999999994,94.54,91.67,2.8700000000000045,1.608,1.783,9.039,9.306,7.469,4.745,-0.4690000000000003,0.7860000000000001,-1.9490000000000003,11.171,0.0,0.003484320557491215,82.99,67.68,278485.35,0.126,0.01,0.1225,0.1655,0.5554,0.7295,14.15,0.014134275618374508,13.925,0.030520646319569043,-1.115
2888,新光金,20171121,10.45,10.45,10.0,0.0449999999999999,0,4.499999999999993,20171121,10.45,0.2200956937799044,-0.0727272727272727,10.25,11.41,25.93,0.1231,1.1753,0.8626,0.834,71.2,52.81,18.39,77.57,72.02,5.549999999999997,8.22,13.241,19.43,26.088,34.075,13.711,13.24,7.840000000000001,16.628999999999998,35.966,0.0,0.019138755980861177,83.57,74.37,563383.15,0.128,0.037,0.3449,0.2155,0.2958,0.6801,9.844,0.06156034132466476,9.6675,0.08094129816395126,-4.825
2912,統一超,20170510,270.0,270.0,267.5,0.0093457943925233,0,0.9345794392523364,20170510,270.0,0.074074074074074,-0.0851851851851851,268.5,10.48,11.67,0.0331,0.37,0.8864,0.7389,62.78,54.29,8.490000000000002,89.29,81.79,7.5,2.923,4.395,15.549,0.839,1.759,5.263,4.394,6.3469999999999995,-8.882,0.09399999999999997,0.0,0.005555555555555556,69.86,55.02,316979.5,3.53,-0.118,3.7603,4.2632,15.193,12.4737,263.1,0.026225769669327163,260.0,0.038461538461538464,-0.52
