,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,dayKValue,dayDValue,weekKValue,weekDValue,weekRoiCompareCurrent,monthRoiCompareCurrent,quoterRoiCompareCurrent,halfYearRoiCompareCurrent,yearRoiCompareCurrent,weekKValue-weekDValue,dayKValue-dayDValue,stock_rate_of_return_month,stock_rate_of_return_month-capitalization_weighted_Index_rate_of_return_month,PrevYearHighest,weekRoiCompareCurrent-prevWeekRoiCompareCurrent,monthRoiCompareCurrent-prevMonthRoiCompareCurrent,halfYearRoiCompareCurrent-prevHalfYearRoiCompareCurrent,quoterRoiCompareCurrent-prevQuoterYearRoiCompareCurrent,yearRoiCompareCurrent-prevYyearRoiCompareCurrent,twelveMonthFluctuation-prevTwelveMonthFluctuation,weekKValue-prevWeekKValue,weekDValue-prevWeekDValue,oneMonthVolatility-prevOneMonthVolatility,twoMonthVolatility-prevTwoMonthVolatility
1215_20170912,20170912.0,67.7,0.0487444608567207,-0.1137370753323486,,8.65,9.45,-0.7999999999999989,22.51,31.32,29.53,29.86,0.295,-5.01,24.27,0.1955,1.6117,1.223,0.8008,56.97,47.3,32.73,39.32,1.141,-3.618,-5.283,17.096,58.68,-6.590000000000003,9.670000000000002,-0.9,-3.985,49.8,2.143,6.622999999999999,-15.581999999999995,-29.795,-30.82,0.0289999999999999,0.3399999999999963,-2.9200000000000017,-13.999999999999996,-1.3599999999999994
2340_20170912,20170912.0,20.05,0.3216957605985037,-0.0049875311720698,,-2.27,-2.51,0.2400000000000002,29.89,32.24,26.76,29.28,0.289,19.9,32.13,0.1184,1.4503,1.3913,1.0614,86.2,84.05,76.02,57.34,12.036,27.414,13.668,22.214,40.914,18.679999999999996,2.1500000000000057,30.133,27.048,15.0,5.851999999999999,34.92,8.230999999999998,9.012,-3.793999999999997,0.0419999999999999,4.97999999999999,8.160000000000004,10.8,18.19
2376_20171024,20171024.0,47.75,0.612565445026178,-0.0837696335078534,,9.375,20.195,-10.82,35.25,27.68,23.79,22.77,0.225,17.81,19.6,0.034,0.9858,0.8069,0.8494,84.94,82.22,61.64,50.38,16.81,17.835,16.708,15.639,4.693,11.259999999999998,2.719999999999999,20.649,17.824,47.35,14.418,21.29,25.912,17.25,-20.262,-0.052,20.57,8.220000000000006,21.07,12.64
3018_20170912,20170912.0,67.9,0.3902798232695139,-0.1340206185567011,,-32.715,28.28,-60.995000000000005,38.71,36.31,41.11,40.77,0.399,30.39,118.12,0.5639,0.4905,1.0485,0.3572,87.95,86.45,92.98,88.91,5.07,22.088,44.49,183.522,284.631,4.070000000000007,1.5,24.807,21.722,23.1,5.292000000000001,-0.4770000000000003,150.92399999999998,-37.76499999999999,298.559,0.095,1.6400000000000006,2.239999999999995,4.530000000000001,-9.25
3035_20171117,20171117.0,56.6,0.4734982332155478,-0.0512367491166077,,13.345,-8.45,21.795,34.07,34.39,33.44,29.58,0.294,17.41,43.05,0.2292,2.0081,1.5877,1.0306,76.12,78.37,73.56,65.61,4.755,24.738,18.104,44.534,88.711,7.950000000000003,-2.25,24.537,24.736,55.8,-5.800999999999999,28.017,16.895999999999997,-6.760000000000002,137.05599999999998,-0.087,4.740000000000009,3.979999999999997,5.190000000000001,-0.4399999999999977
3323_20170912,20170912.0,49.7,0.0865191146881287,-0.2585513078470825,,60.33,79.64,-19.31,57.31,63.15,55.6,38.13,0.374,59.31,121.06,0.3862,0.2547,1.2127,1.0502,88.16,84.13,89.22,86.22,26.827,40.488,90.37,138.295,152.688,3.0,4.030000000000001,43.206,40.121,25.6,13.608000000000002,6.802,136.28799999999998,71.011,155.242,0.145,3.3499999999999943,2.6799999999999926,-4.649999999999999,28.82
3580_20171017,20171017.0,39.05,1.115236875800256,-0.0179257362355952,,505.56000000000006,48.915,456.645,44.02,45.98,49.37,62.31,0.619,9.15,14.69,0.2228,0.7469,0.6649,1.2861,79.62,73.87,50.78,46.05,8.912,6.674,17.524,24.282,33.942,4.730000000000004,5.75,8.023,6.648999999999999,38.4,10.199000000000002,2.5570000000000004,17.415,18.009,-307.448,0.012,8.520000000000003,1.0700000000000005,-4.879999999999996,-12.93
3665_20170912,20170912.0,287.5,0.1391304347826087,-0.1860869565217391,,87.50999999999999,80.695,6.814999999999998,53.19,45.36,39.49,36.88,0.365,24.8,52.03,0.1255,3.8192,1.6163,1.3203,74.2,71.19,83.92,75.77,2.252,26.181,24.399,57.874,42.915,8.150000000000006,3.010000000000005,28.899,25.814,227.0,-13.614,16.217,62.213,4.756,17.035999999999998,-0.031,3.700000000000003,4.22999999999999,17.519999999999996,16.93
3702_20171011,20171011.0,41.6,0.0312499999999999,-0.1286057692307692,,5.055,-4.574999999999999,9.63,17.58,16.94,25.34,17.63,0.175,3.69,10.5,0.0274,0.3501,0.5783,0.732,90.98,85.52,60.77,44.32,0.457,0.82,3.641,5.87,3.653,16.450000000000003,5.460000000000008,1.472,0.766,41.4,0.512,6.218,9.316,-0.1259999999999999,-5.384,-0.011,20.5,9.79,1.5499999999999972,-12.81
4502_20170912,20170912.0,123.0,0.016260162601626,-0.375609756097561,,36.085,68.635,-32.550000000000004,70.17,63.94,63.13,49.75,0.491,24.07,99.46,0.4205,3.2713,1.1672,0.6501,21.76,36.45,73.64,73.64,-6.33,28.8,26.146,174.574,155.653,0.0,-14.69,31.519,28.434,58.9,-1.3280000000000003,8.437000000000001,185.771,-63.04299999999999,4.405000000000001,-0.043,-4.510000000000005,0.4099999999999966,12.579999999999998,-8.870000000000005
4721_20170912,20170912.0,142.0,0.0492957746478873,-0.4154929577464789,,126.42,59.74,66.68,85.27,82.96,70.53,54.55,0.535,85.77,188.11,0.5429,0.7589,1.4736,1.3073,68.94,82.05,85.01,84.14,-3.746,86.112,197.894,154.627,250.337,0.8700000000000045,-13.11,88.83,85.745,42.1,-28.985,31.998,107.836,219.34,150.884,0.063,-7.989999999999995,-0.4599999999999937,10.239999999999997,55.16
