,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價
1101,台泥,20181012,38.9,,,0.0025706940874036356,-0.13496143958868895
1102,亞泥,20181228,32.0,,,0.07187499999999991,0.07187499999999991
1103,嘉泥,20181228,13.55,,,0.0036900369003689247,0.0036900369003689247
1109,信大,20181228,13.7,,,0.018248175182481754,0.018248175182481754
1110,東泥,20181227,17.2,,,0.005813953488372176,-0.011627906976744146
1201,味全,20181220,23.2,,,0.008620689655172384,-0.040948275862068936
1203,味王,20181219,26.0,,,0.0019230769230769505,-0.01538461538461533
1210,大成,20181009,36.4,,,0.009615384615384654,-0.195054945054945
1216,統一,20181228,67.4,,,0.035608308605341116,0.035608308605341116
1219,福壽,20180827,19.0,,,0.005263157894736917,-0.05263157894736842
1220,台榮,20181011,12.45,,,0.044176706827309294,-0.12449799196787141
1225,福懋油,20181228,70.4,,,0.10511363636363623,0.10511363636363623
1229,聯華,20180830,36.9,,,0.0040650406504064655,-0.1964769647696477
1231,聯華食,20181213,37.3,,,0.005361930294906243,-0.020107238605898126
1232,大統益,20181228,96.2,,,0.01871101871101868,0.01871101871101868
1235,興泰,20181112,40.8,,,0.06250000000000011,-0.3688725490196078
1256,鮮活果汁-KY,20180807,182.0,,,0.005494505494505495,-0.260989010989011
1301,台塑,20181228,98.8,,,0.022267206477732823,0.022267206477732823
1303,南亞,20181009,80.2,,,0.023690773067331562,-0.09226932668329184
1309,台達化,20180703,15.8,,,0.01265822784810122,-0.3670886075949367
1310,台苯,20181226,25.45,,,0.0019646365422397137,-0.09037328094302557
1312,國喬,20180524,33.35,,,0.019490254872563676,-0.40029985007496255
1313,聯成,20180713,19.6,,,0.07142857142857136,-0.43367346938775514
1324,地球,20180326,13.8,,,0.014492753623188354,-0.23188405797101455
1326,台化,20181221,105.5,,,0.009478672985781991,-0.037914691943127965
1402,遠東新,20181220,28.5,,,0.008771929824561403,-0.024561403508771906
1409,新纖,20181228,11.1,,,0.05405405405405402,0.05405405405405402
1413,宏洲,20181228,9.75,,,0.11282051282051278,0.11282051282051278
1414,東和,20181001,7.81,,,0.005121638924455831,-0.13956466069142123
1417,嘉裕,20181206,5.99,,,0.0016694490818029693,-0.18697829716193656
1418,東華,20180619,12.3,,,0.00813008130081298,-0.4910569105691057
1419,新紡,20180820,45.6,,,0.004385964912280608,-0.11842105263157891
1423,利華,20181228,8.85,,,0.18644067796610175,0.18644067796610175
1434,福懋,20181228,33.6,,,0.03422619047619043,0.03422619047619043
1438,三地開發,20181228,5.47,,,0.4076782449725778,0.4076782449725778
1439,中和,20181228,27.4,,,0.2335766423357664,0.2335766423357664
1441,大東,20181228,9.99,,,0.2912912912912913,0.2912912912912913
1443,立益,20181228,6.86,,,0.01603498542274044,0.01603498542274044
1444,力麗,20180521,12.35,,,0.01214574898785428,-0.22995951417004049
1446,宏和,20181003,27.3,,,0.0073260073260073,-0.13919413919413923
1447,力鵬,20180928,9.46,,,0.041226215644820166,-0.16596194503171258
1449,佳和,20180426,6.8,,,0.02941176470588238,-0.33970588235294114
1453,大將,20180515,10.85,,,0.032258064516129004,-0.22672811059907827
1457,宜進,20180518,15.2,,,0.0032894736842105734,-0.20394736842105263
1471,首利,20180808,6.52,,,0.019938650306748587,-0.3481595092024539
1503,士電,20181009,43.4,,,0.02073732718894006,-0.08525345622119807
1513,中興電,20180410,24.2,,,0.004132231404958737,-0.2066115702479339
1514,亞力,20181228,12.4,,,0.06451612903225798,0.06451612903225798
1515,力山,20181219,75.0,,,0.0026666666666667047,-0.07333333333333333
1516,川飛,20180313,31.45,,,0.00476947535771072,-0.5039745627980922
1519,華城,20181003,24.65,,,0.0040567951318459,-0.30425963488843816
1526,日馳,20180323,73.8,,,0.11111111111111116,-0.7513550135501355
1528,恩德,20180622,16.05,,,0.0031152647975078323,-0.3894080996884735
1529,樂士,20181228,5.5,,,2.272727272727273,2.272727272727273
1530,亞崴,20180620,39.9,,,0.0012531328320803073,-0.26691729323308266
1531,高林股,20180205,24.15,,,0.020703933747412008,-0.3436853002070393
1540,喬福,20180202,18.25,,,0.0164383561643836,-0.1972602739726027
1590,亞德客-KY,20180613,539.0,,,0.0037105751391465678,-0.5630797773654916
1591,駿吉-KY,20180208,43.7,,,0.016018306636155506,-0.391304347826087
1593,祺驊,20180410,53.3,,,0.011257035647279577,-0.28705440900562845
1597,直得,20181003,109.0,,,0.009174311926605505,-0.3688073394495413
1605,華新,20181206,18.25,,,0.0027397260273972993,-0.07945205479452051
1608,華榮,20180508,12.2,,,0.004098360655737763,-0.30655737704918024
1609,大亞,20180502,15.4,,,0.016233766233766232,-0.3474025974025974
1611,中電,20180711,11.0,,,0.06363636363636357,-0.2136363636363636
1612,宏泰,20180426,11.75,,,0.004255319148936231,-0.2272340425531915
1615,大山,20181003,16.55,,,0.012084592145015062,-0.14803625377643512
1617,榮星,20180116,16.45,,,0.0334346504559271,-0.26747720364741634
1618,合機,20180410,10.65,,,0.08450704225352115,-0.26478873239436623
1701,中化,20181023,20.7,,,0.03381642512077292,-0.12318840579710148
1710,東聯,20181011,33.1,,,0.0015105740181268023,-0.243202416918429
1713,國化,20181228,17.7,,,0.07344632768361586,0.07344632768361586
1718,中纖,20181009,10.9,,,0.03211009174311923,-0.12385321100917428
1723,中碳,20181228,133.5,,,0.026217228464419477,0.026217228464419477
1725,元禎,20181009,15.7,,,0.019108280254777118,-0.12420382165605091
1730,花仙子,20181228,43.0,,,0.4976744186046513,0.4976744186046513
1742,台蠟,20181228,16.0,,,0.10624999999999996,0.10624999999999996
1773,勝一,20181228,82.9,,,0.013268998793727314,0.013268998793727314
1783,和康生,20181009,27.3,,,0.03663003663003663,-0.25457875457875456
1785,光洋科,20180619,23.45,,,0.012793176972281481,-0.26652452025586354
