,進場日期,進場價格,120天最高價,120天最低價,進場當天成交金額(千),Ma2prev1,Ma2prev2,Ma2prev2-Ma2prev1,oneMonthVolatility,twoMonthVolatility,threeMonthVolatility,twelveMonthVolatility,twelveMonthFluctuation,bias60,bias250,alpha250,Beta21,Beta65,Beta250,PrevYearHighest
1304_20201214,20201214.0,21.1,1.0284360189573456,-0.0924170616113745,,7.095,-9.675,16.77,35.81,35.61,40.71,38.1,0.379,13.07,52.85,0.1173,0.2311,0.6577,1.0682,17.0
1309_20201214,20201214.0,32.8,0.6737804878048782,-0.0762195121951218,,8.17,-6.199999999999999,14.37,41.59,49.97,56.28,53.23,0.525,4.76,87.73,0.426,-0.1498,0.8969,1.012,18.15
1336_20201221,20201221.0,23.5,0.2361702127659574,-0.1063829787234042,,-11.1,-8.83,-2.27,23.76,41.38,40.59,34.28,0.341,15.77,42.94,0.1664,0.1362,0.9491,0.6972,20.2
1414_20201214,20201214.0,14.45,0.7301038062283738,-0.1591695501730103,,25.26,11.97,13.29,54.31,73.24,66.86,43.83,0.432,13.46,74.74,0.2411,-0.4859,1.1108,0.8687,8.88
1444_20201224,20201224.0,13.8,0.1702898550724636,-0.2210144927536232,,-12.22,-34.185,21.965000000000003,49.23,41.13,52.7,52.73,0.521,2.63,40.66,0.1285,0.7171,0.6263,0.9635,13.7
1466_20201214,20201214.0,16.6,0.3463855421686747,-0.069277108433735,,19.43,1.1799999999999988,18.25,36.94,60.19,71.81,66.45,0.66,-23.0,20.93,0.3551,0.4786,-0.4074,0.393,12.8
1513_20201214,20201214.0,57.2,0.0192307692307691,-0.1923076923076923,,15.455,27.605,-12.15,59.72,55.54,56.6,44.49,0.441,9.92,68.43,0.3614,-0.4021,1.0753,0.789,25.55
1517_20201214,20201214.0,14.05,1.5266903914590746,-0.103202846975089,,51.575,38.435,13.14,27.46,43.94,43.58,43.2,0.43,4.94,41.77,0.1559,-0.3008,0.6866,0.7111,12.45
1519_20201214,20201214.0,53.0,0.0,-0.2471698113207547,,-13.115,80.72,-93.835,23.52,27.25,37.96,43.08,0.429,5.21,52.86,0.2175,0.0385,0.5,0.9718,32.35
1598_20201214,20201214.0,114.5,0.1441048034934497,-0.2759825327510916,,216.22,170.29000000000002,45.92999999999998,44.16,60.24,59.46,50.92,0.507,-9.21,57.86,0.4268,0.5528,0.8137,0.5464,47.65
1608_20201221,20201221.0,14.6,1.4726027397260275,-0.2363013698630136,,15.665,-1.125,16.79,61.59,48.43,42.62,40.08,0.396,30.94,54.68,0.1333,1.0962,0.9762,0.9538,14.15
1609_20201214,20201214.0,20.45,0.7995110024449877,-0.1149144254278727,,13.239999999999998,4.09,9.15,28.88,32.66,41.2,42.93,0.426,4.16,56.43,0.2193,-1.0654,0.4451,1.0202,18.25
1612_20201214,20201214.0,18.1,0.8895027624309393,-0.1464088397790056,,37.755,34.0,3.754999999999996,40.01,34.35,38.71,34.18,0.341,15.28,53.19,0.1703,0.369,1.1501,0.8785,14.3
1762_20201214,20201214.0,61.7,0.1685575364667745,-0.1296596434359805,,143.66,90.735,52.92499999999998,19.8,42.33,47.61,61.58,0.614,-6.35,18.27,0.2789,-0.1899,-0.1206,0.247,40.9
1785_20201214,20201214.0,45.35,0.3759647188533626,-0.0650496141124587,,29.3,18.305,10.994999999999996,28.72,28.11,31.23,53.62,0.531,0.21,39.78,0.228,0.1909,1.1979,1.3682,26.4
1905_20201229,20201229.0,13.35,1.3220973782771537,-0.247191011235955,,-0.185,-5.734999999999999,5.549999999999999,60.55,44.43,39.08,37.04,0.367,28.25,44.16,0.0993,2.3483,1.1208,0.7529,12.6
1907_20201214,20201214.0,24.85,1.0845070422535208,-0.03420523138833,,7.845,0.7650000000000001,7.08,26.29,38.29,35.7,31.89,0.317,19.24,63.45,0.2409,0.4548,1.1001,0.6136,14.7
