格式：一般總覽/3406/最近/1800/遞減/個股券商分點進出統計(top5)/日期/日////每一期,"表格欄位/代號種類^=^S^;^週期編號^=^D^;^AllCMenuIDs^=^M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517,M517^;^是否轉置^=^False^;^檢視方式^=^1^;^AllFields^=^近1日買超合計,近1日賣超合計,近1日買張合計,近1日賣張合計,近1日成交量合計,近1日籌碼集中度,近5日買超合計,近5日賣超合計,近5日買張合計,近5日賣張合計,近5日成交量合計,近5日籌碼集中度,近10日買超合計,近10日賣超合計,近10日買張合計,近10日賣張合計,近10日成交量合計,近10日籌碼集中度,近20日買超合計,近20日賣超合計,近20日買張合計,近20日賣張合計,近20日成交量合計,近20日籌碼集中度,近60日買超合計,近60日賣超合計,近60日買張合計,近60日賣張合計,近60日成交量合計,近60日籌碼集中度,近120日買超合計,近120日賣超合計,近120日買張合計,近120日賣張合計,近120日成交量合計,近120日籌碼集中度,近240日買超合計,近240日賣超合計,近240日買張合計,近240日賣張合計,近240日成交量合計,近240日籌碼集中度^;^MainTable^=^M517^;^ListType^=^日期^;^SelectDate^=^TOP 20^;^SelectCMenuID^=^M517|^;^SelectDate種類^=^1^;^AllFieldsNO^=^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^;^自訂欄位公式^=^|||||||||||||||||||||||||||||||||||||||||^;^自訂欄位Where條件^=^|||||||||||||||||||||||||||||||||||||||||^;^多期數值處理方式^=^1^;^多欄指定個股方式^=^|||||||||||||||||||||||||||||||||||||||||^;^多欄指定個股^=^|||||||||||||||||||||||||||||||||||||||||^;^多欄指定群組名稱^=^|||||||||||||||||||||||||||||||||||||||||^;^欄位顯示狀態^=^1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1^;^欄位轉換日期方式^=^日^;^欄位排序方式^=^|||||||||||||||||||||||||||||||||||||||||^;^欄位採用各期最新^=^|||||||||||||||||||||||||||||||||||||||||^;^樣本表系統定義全部代號^=^^;^單項目比較欄位^=^^;^單項目比較欄位編號^=^^;^表格類型^=^",個股券商分點進出統計(top5).近1日買超合計/,個股券商分點進出統計(top5).近1日賣超合計/,個股券商分點進出統計(top5).近1日買張合計/,個股券商分點進出統計(top5).近1日賣張合計/,個股券商分點進出統計(top5).近1日成交量合計/,個股券商分點進出統計(top5).近1日籌碼集中度/,個股券商分點進出統計(top5).近5日買超合計/,個股券商分點進出統計(top5).近5日賣超合計/,個股券商分點進出統計(top5).近5日買張合計/,個股券商分點進出統計(top5).近5日賣張合計/,個股券商分點進出統計(top5).近5日成交量合計/,個股券商分點進出統計(top5).近5日籌碼集中度/,個股券商分點進出統計(top5).近10日買超合計/,個股券商分點進出統計(top5).近10日賣超合計/,個股券商分點進出統計(top5).近10日買張合計/,個股券商分點進出統計(top5).近10日賣張合計/,個股券商分點進出統計(top5).近10日成交量合計/,個股券商分點進出統計(top5).近10日籌碼集中度/,個股券商分點進出統計(top5).近20日買超合計/,個股券商分點進出統計(top5).近20日賣超合計/,個股券商分點進出統計(top5).近20日買張合計/,個股券商分點進出統計(top5).近20日賣張合計/,個股券商分點進出統計(top5).近20日成交量合計/,個股券商分點進出統計(top5).近20日籌碼集中度/,個股券商分點進出統計(top5).近60日買超合計/,個股券商分點進出統計(top5).近60日賣超合計/,個股券商分點進出統計(top5).近60日買張合計/,個股券商分點進出統計(top5).近60日賣張合計/,個股券商分點進出統計(top5).近60日成交量合計/,個股券商分點進出統計(top5).近60日籌碼集中度/,個股券商分點進出統計(top5).近120日買超合計/,個股券商分點進出統計(top5).近120日賣超合計/,個股券商分點進出統計(top5).近120日買張合計/,個股券商分點進出統計(top5).近120日賣張合計/,個股券商分點進出統計(top5).近120日成交量合計/,個股券商分點進出統計(top5).近120日籌碼集中度/,個股券商分點進出統計(top5).近240日買超合計/,個股券商分點進出統計(top5).近240日賣超合計/,個股券商分點進出統計(top5).近240日買張合計/,個股券商分點進出統計(top5).近240日賣張合計/,個股券商分點進出統計(top5).近240日成交量合計/,個股券商分點進出統計(top5).近240日籌碼集中度/,
基準日:最近一日,資料日期/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更新標題:是,參考標題,近1日買超合計,近1日賣超合計,近1日買張合計,近1日賣張合計,近1日成交量合計,近1日籌碼集中度,近5日買超合計,近5日賣超合計,近5日買張合計,近5日賣張合計,近5日成交量合計,近5日籌碼集中度,近10日買超合計,近10日賣超合計,近10日買張合計,近10日賣張合計,近10日成交量合計,近10日籌碼集中度,近20日買超合計,近20日賣超合計,近20日買張合計,近20日賣張合計,近20日成交量合計,近20日籌碼集中度,近60日買超合計,近60日賣超合計,近60日買張合計,近60日賣張合計,近60日成交量合計,近60日籌碼集中度,近120日買超合計,近120日賣超合計,近120日買張合計,近120日賣張合計,近120日成交量合計,近120日籌碼集中度,近240日買超合計,近240日賣超合計,近240日買張合計,近240日賣張合計,近240日成交量合計,近240日籌碼集中度,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3406 玉晶光,日期,近1日買超合計,近1日賣超合計,近1日買張合計,近1日賣張合計,近1日成交量合計,近1日籌碼集中度,近5日買超合計,近5日賣超合計,近5日買張合計,近5日賣張合計,近5日成交量合計,近5日籌碼集中度,近10日買超合計,近10日賣超合計,近10日買張合計,近10日賣張合計,近10日成交量合計,近10日籌碼集中度,近20日買超合計,近20日賣超合計,近20日買張合計,近20日賣張合計,近20日成交量合計,近20日籌碼集中度,近60日買超合計,近60日賣超合計,近60日買張合計,近60日賣張合計,近60日成交量合計,近60日籌碼集中度,近120日買超合計,近120日賣超合計,近120日買張合計,近120日賣張合計,近120日成交量合計,近120日籌碼集中度,近240日買超合計,近240日賣超合計,近240日買張合計,近240日賣張合計,近240日成交量合計,近240日籌碼集中度,
,1/12/2022,194,402,319,482,687,-9,1326,971,4835,4335,9144,1.6,2925,703,9025,6648,15591,5.5,4561,931,13947,10563,24499,6.1,14161,1684,49662,40677,89057,5.6,9022,4507,73914,70292,142887,1.2,17530,3989,142587,134914,277501,1.7,
,1/11/2022,483,317,690,507,1058,7.3,1939,710,6052,5042,11025,4.5,3100,685,9035,6620,15587,6.2,4800,1041,14164,10963,25118,6.3,14699,1645,50097,40517,89431,5.9,9280,4313,74088,70269,143094,1.3,17309,3961,142761,135594,278355,1.6,
,1/10/2022,699,215,1007,468,1421,17.2,2788,668,6642,5108,11437,7.2,3163,669,8698,6379,15015,6.6,5330,907,14393,11360,25701,7.3,14724,1634,49978,40385,89058,5.9,9463,4443,73881,70088,142782,1.3,17648,3990,143567,135680,279247,1.7,
,1/7/2022,448,1536,1099,2228,3209,-13.6,3111,803,6851,5099,11652,7.8,3323,867,8109,6291,14337,6.7,5307,1439,13802,11601,25315,6.4,14072,1603,49356,40550,88171,5.7,9303,4884,73303,70460,142728,1.2,17486,3889,143543,136026,279569,1.7,
,1/6/2022,1693,583,2360,1243,3393,16.2,4191,922,6157,3100,9036,14.3,4101,732,7421,4390,11772,11.3,7432,1194,15591,10550,25479,10.7,15366,1749,48995,38682,85750,6.4,9556,4687,72750,69286,141042,1.3,17765,3883,143025,134730,277755,1.7,
,1/5/2022,1513,670,2035,1136,2850,11.3,2636,751,4500,2461,6835,10.5,2648,817,5770,4346,10116,6.9,7193,1159,15262,10161,24653,10.8,14316,1784,47440,38341,83932,6,8661,4507,71616,68607,139230,1.1,16571,3867,141651,134170,275821,1.6,
,1/4/2022,1266,320,1541,597,2020,22.6,1869,384,3192,1780,4955,12.8,3371,725,6569,3976,10523,11,6088,912,14144,9817,23540,10.1,13494,1379,46499,38177,82978,5.9,7490,4848,70257,68423,137880,0.7,15819,3858,140736,134410,275146,1.5,
,1/3/2022,1109,344,1312,495,1595,24.4,985,335,2056,1533,3589,7.6,2582,632,5812,3792,9604,9.3,5213,901,13563,9717,22832,8.8,11892,1729,45805,39428,83449,4.9,7218,4769,69376,68373,137077,0.7,14736,3485,140772,134751,275523,1.4,
,12/30/2021,277,154,305,211,425,10.2,560,644,1334,1427,2685,-1.2,1917,898,4914,4077,8991,5.1,4520,857,13241,10206,22858,7.4,10949,1591,45281,39543,83347,4.5,7020,4902,68921,68470,136549,0.6,13624,3706,140841,135767,276608,1.2,
